name,ingredients,diet,price,course,region,flavor_profile,calories,protein,carbs,fat,image_url,cooking_tips
Paneer Tikka,"Paneer,Yogurt,Spices,Capsicum,Onion",vegetarian,280.00,starter,North,spicy,250,15,10,15,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=500&q=60,"Marinate paneer for at least 2 hours for maximum flavor absorption. Grill on high heat for char."
Amritsari Fish Fry,"Fish,Gram Flour,Spices,Carom Seeds",non-vegetarian,400.00,starter,Punjab,savory,350,25,20,20,https://images.unsplash.com/photo-1626777553634-67bc5d1f185c?auto=format&fit=crop&w=500&q=60,"Double fry the fish: once on medium heat to cook through, then on high heat for crispiness."
Hara Bhara Kebab,"Spinach,Potatoes,Peas,Spices",vegetarian,220.00,starter,North,savory,180,8,25,8,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=500&q=60,"Blanch spinach and squeeze out all water to prevent kebabs from breaking."
Chicken Malai Tikka,"Chicken,Cream,Cashew Paste,Spices",non-vegetarian,380.00,starter,Mughlai,mild,320,20,15,22,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?auto=format&fit=crop&w=500&q=60,"Use hung curd and fresh cream for the silkiest texture. Don't overcook to keep juicy."
Dahi Bhalla,"Lentil Fritters,Yogurt,Tamarind Chutney,Mint Chutney",vegetarian,150.00,starter,North,tangy,120,6,18,4,https://images.unsplash.com/photo-1627375619343-a12da9f9d2a8?auto=format&fit=crop&w=500&q=60,"Soak fried vadas in warm salted water for 20 mins to make them super soft."
Samosa Plate,"Potatoes,Peas,Spices,Flour",vegetarian,80.00,starter,India,savory,150,4,20,7,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=500&q=60,"Fry on low heat for a long time to get the outer crust perfectly crispy and flaky."
Tandoori Gobi,"Cauliflower,Yogurt,Tandoori Masala",vegetarian,250.00,starter,Punjab,smoky,200,10,15,12,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Blanch cauliflower florets before marinating to ensure they cook evenly in the tandoor."
Seekh Kebab,"Minced Mutton,Spices,Onion,Herbs",non-vegetarian,420.00,starter,Mughlai,spicy,280,22,8,18,https://images.unsplash.com/photo-1610057099431-d73a1c9d2f2f?auto=format&fit=crop&w=500&q=60,"Keep the minced meat very cold while mixing to help the fat bind the kebab together."
Butter Chicken,"Chicken,Tomato,Butter,Cream,Spices",non-vegetarian,450.00,main course,Punjab,rich,450,30,15,30,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?auto=format&fit=crop&w=500&q=60,"Add butter and cream at the very end and turn off heat immediately to prevent splitting."
Dal Makhani,"Black Lentils,Kidney Beans,Butter,Cream",vegetarian,220.00,main course,Punjab,savory,300,15,35,12,https://images.unsplash.com/photo-1585937421612-70a008356f36?auto=format&fit=crop&w=500&q=60,"Simmer on low heat overnight for the authentic creamy texture. Smoke with charcoal if possible."
Chole Bhature,"Chickpeas,Flour,Spices,Onion,Tomato",vegetarian,180.00,main course,Punjab,spicy,400,15,50,15,https://images.unsplash.com/photo-1626074353765-5ea1d47f03f5?auto=format&fit=crop&w=500&q=60,"Add a tea bag while boiling chickpeas to get that dark, authentic color."
Malai Kofta,"Paneer,Potatoes,Cream,Tomato,Cashews",vegetarian,320.00,main course,North,rich,350,12,25,20,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Do not add koftas to the gravy while boiling. Serve gravy over koftas just before eating."
